Combined_Key,Population
"Clay, Iowa, US",16016
"Clayton, Iowa, US",17549
"Clinton, Iowa, US",46429
"Crawford, Iowa, US",16820
"Dallas, Iowa, US",93453
"Davis, Iowa, US",9000
"Decatur, Iowa, US",7870
"Delaware, Iowa, US",17011
"Des Moines, Iowa, US",38967
"Dickinson, Iowa, US",17258
"Dubuque, Iowa, US",97311
"Emmet, Iowa, US",9208
"Fayette, Iowa, US",19650
"Floyd, Iowa, US",15642
"Franklin, Iowa, US",10070
"Fremont, Iowa, US",6960
"Greene, Iowa, US",8888
"Grundy, Iowa, US",12232
"Guthrie, Iowa, US",10689
"Hamilton, Iowa, US",14773
"Hancock, Iowa, US",10630
"Hardin, Iowa, US",16846
"Harrison, Iowa, US",14049
"Henry, Iowa, US",19954
"Howard, Iowa, US",9158
"Humboldt, Iowa, US",9558
"Ida, Iowa, US",6860
"Iowa, Iowa, US",16184
"Jackson, Iowa, US",19439
"Jasper, Iowa, US",37185
"Jefferson, Iowa, US",18295
"Johnson, Iowa, US",151140
"Jones, Iowa, US",20681
"Keokuk, Iowa, US",10246
"Kossuth, Iowa, US",14813
"Lee, Iowa, US",33657
"Linn, Iowa, US",226706
"Louisa, Iowa, US",11035
"Lucas, Iowa, US",8600
"Lyon, Iowa, US",11755
"Madison, Iowa, US",16338
"Mahaska, Iowa, US",22095
"Marion, Iowa, US",33253
"Marshall, Iowa, US",39369
"Mills, Iowa, US",15109
"Mitchell, Iowa, US",10586
"Monona, Iowa, US",8615
"Monroe, Iowa, US",7707
"Montgomery, Iowa, US",9917
"Muscatine, Iowa, US",42664
"O'Brien, Iowa, US",13753
"Osceola, Iowa, US",5958
"Page, Iowa, US",15107
"Palo Alto, Iowa, US",8886
"Plymouth, Iowa, US",25177
"Pocahontas, Iowa, US",6619
"Polk, Iowa, US",490161
"Pottawattamie, Iowa, US",93206
"Poweshiek, Iowa, US",18504
"Ringgold, Iowa, US",4894
"Sac, Iowa, US",9721
"Scott, Iowa, US",172943
"Shelby, Iowa, US",11454
"Sioux, Iowa, US",34855
"Story, Iowa, US",97117
